21:02:04  [main] 	Initializing Control Panel
21:02:05  [main] 	Windows Version:  Enterprise  64-bit
21:02:05  [main] 	XAMPP Version: 8.1.12
21:02:05  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
21:02:05  [main] 	Running with Administrator rights - good!
21:02:05  [main] 	XAMPP Installation Directory: "c:\xampp\"
21:02:05  [main] 	Checking for prerequisites
21:02:12  [main] 	All prerequisites found
21:02:12  [main] 	Initializing Modules
21:02:12  [main] 	The FileZilla module is disabled
21:02:12  [main] 	The Mercury module is disabled
21:02:12  [main] 	The Tomcat module is disabled
21:02:12  [main] 	Starting Check-Timer
21:02:12  [main] 	Control Panel Ready
21:03:32  [mysql] 	Attempting to start MySQL app...
21:03:32  [mysql] 	Status change detected: running
21:05:27  [Apache] 	Attempting to start Apache app...
21:05:27  [Apache] 	Status change detected: running
22:49:10  [main] 	Deinitializing Modules
22:49:10  [main] 	Deinitializing Control Panel

